"drg","drgnum","drgweight","drgsys","drgvers","glos","trim","low","alos","fydate","fyear"
"443",443,0.6418,"MS-DRG",31,2.59999990463257,0,,3.20000004768372,10/1/2013,2014
"444",444,1.606,"MS-DRG",31,4.69999980926514,0,,6.09999990463257,10/1/2013,2014
"445",445,1.0476,"MS-DRG",31,3.40000009536743,0,,4.19999980926514,10/1/2013,2014
"446",446,0.7499,"MS-DRG",31,2.40000009536743,0,,2.90000009536743,10/1/2013,2014
"447",447,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"448",448,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"449",449,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"450",450,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"451",451,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"452",452,0,"MS-DRG",31,0,0,,0,10/1/2013,2014
"453",453,11.7453,"MS-DRG",31,9.69999980926514,0,,12.1999998092651,10/1/2013,2014
"454",454,8.02,"MS-DRG",31,5.09999990463257,0,,6.09999990463257,10/1/2013,2014
"455",455,6.2882,"MS-DRG",31,3.09999990463257,0,,3.59999990463257,10/1/2013,2014
"456",456,9.5871,"MS-DRG",31,10.1999998092651,0,,12.5,10/1/2013,2014
"457",457,6.8188,"MS-DRG",31,5.59999990463257,0,,6.5,10/1/2013,2014
"458",458,5.1378,"MS-DRG",31,3.29999995231628,0,,3.79999995231628,10/1/2013,2014
"459",459,6.8163,"MS-DRG",31,7.09999990463257,0,,8.69999980926514,10/1/2013,2014
"460",460,4.0221,"MS-DRG",31,3.09999990463257,0,,3.59999990463257,10/1/2013,2014
"461",461,5.0254,"MS-DRG",31,6.09999990463257,0,,7.5,10/1/2013,2014
"462",462,3.519,"MS-DRG",31,3.5,0,,3.79999995231628,10/1/2013,2014
"463",463,5.1152,"MS-DRG",31,10.3999996185303,0,,14,10/1/2013,2014
"464",464,3.0243,"MS-DRG",31,6.19999980926514,0,,8,10/1/2013,2014
"465",465,1.9199,"MS-DRG",31,3.79999995231628,0,,4.80000019073486,10/1/2013,2014
"466",466,5.2748,"MS-DRG",31,7,0,,8.60000038146973,10/1/2013,2014
"467",467,3.414,"MS-DRG",31,3.90000009536743,0,,4.5,10/1/2013,2014
"468",468,2.7624,"MS-DRG",31,3,0,,3.20000004768372,10/1/2013,2014
"469",469,3.4377,"MS-DRG",31,6.19999980926514,0,,7.40000009536743,10/1/2013,2014
